域名	解析IP	开放端口	WEB服务器	网站状态
show.jiayuan.com	59.151.18.56	80	获取失败	80:-
uni.jiayuan.com	47.94.15.239	80,443	获取失败	80:-
msg.jiayuan.com	47.94.204.93	80,443	获取失败	80:-
shouji.jiayuan.com	59.151.18.38	80	获取失败	80:-
w.jiayuan.com	103.108.8.220	80	获取失败	80:-
xiaoi.jiayuan.com	59.151.18.44	80	获取失败	80:-
www.jiayuan.com	39.106.127.80	80	获取失败	80:-
1.jiayuan.com	59.151.18.56	80	获取失败	80:-
gift.jiayuan.com	47.94.204.93	80,443	获取失败	80:-
sina.jiayuan.com	59.151.18.44	80	获取失败	80:-
wap.jiayuan.com	47.94.15.239	80,443	获取失败	80:-
usercp.jiayuan.com	39.106.127.80	80	获取失败	80:-
lechi.jiayuan.com	59.151.18.56	80	获取失败	80:-
tom.jiayuan.com	59.151.18.44	80	获取失败	80:-
upload.jiayuan.com	47.94.15.239	80,443	获取失败	80:-
click.jiayuan.com	59.151.18.24	80	获取失败	80:-
photo.jiayuan.com	47.94.204.93	80,443	获取失败	80:-
bbs.jiayuan.com	59.151.18.44	80	获取失败	80:-
ai.jiayuan.com	59.151.18.56	80	获取失败	80:-
msn.jiayuan.com	59.151.18.56	80	获取失败	80:-
iphone.jiayuan.com	47.94.15.239	80,443	获取失败	80:-
b.jiayuan.com	59.151.18.56	80	获取失败	80:-
