域名	解析IP	开放端口	WEB服务器	网站状态
bi.meizu.com	192.168.17.71	-	端口未开放	端口未开放
bw.meizu.com	120.26.87.169	-	端口未开放	端口未开放
conf.meizu.com	192.168.17.31	-	端口未开放	端口未开放
device.meizu.com	14.152.73.229	80,443	nginx/1.11.6	80:正常访问
fl.meizu.com	121.14.201.219	80,443	nginx	80:正常访问
imap.meizu.com	14.29.68.185	80,443	nginx	80:(403) 已禁止
gs.meizu.com	121.14.201.254	80,443	nginx	80:正常访问
im.meizu.com	120.78.242.12	80,443	-	80:(404) 未找到
fw.meizu.com	183.61.122.123	80,443	nginx	80:(403) 已禁止
laboratory.meizu.com	14.152.75.23	80,443	nginx	80:(403) 已禁止
lists.meizu.com	203.107.32.146	80,443	openresty	80:正常访问
ma.meizu.com	14.29.68.182	80,443	nginx	80:(403) 已禁止
mac.meizu.com	47.107.215.180	80	nginx	80:正常访问
ml.meizu.com	47.74.172.8	80,443	-	80:(403) 已禁止
mp.meizu.com	14.152.75.10	80,443	nginx	80:正常访问
mk.meizu.com	203.107.32.146	80,443	openresty/1.11.2.3	80:正常访问
order.meizu.com	47.74.172.8	80,443	-	80:(403) 已禁止
partner.meizu.com	121.14.201.236,221.5.102.168	80,443	nginx	80:正常访问
pop3.meizu.com	14.29.68.185	80,443	nginx	80:(403) 已禁止
pi.meizu.com	121.14.201.207	80,443	nginx	80:正常访问
pop.meizu.com	14.29.68.185	80,443	nginx	80:(403) 已禁止
ms.meizu.com	121.40.74.143	80	Apache-Coyote/1.1	80:(404) 未找到
patch.meizu.com	101.69.121.120,221.204.166.20,221.204.60.123,121.29.54.199,112.90.58.190,125.211.204.225,121.29.54.195,218.11.8.104,221.204.60.63,101.69.121.89,221.204.58.110,221.204.166.22,221.204.166.38,182.118.11.236	80,443	openresty	80:(404) 未找到
smtp.meizu.com	14.29.68.185	80,443	nginx	80:(403) 已禁止
sms.meizu.com	14.152.75.190	80,443	nginx	80:(403) 已禁止
remote.meizu.com	183.61.122.106	80	openresty	80:(403) 已禁止
re.meizu.com	58.63.253.69	-	端口未开放	端口未开放
router.meizu.com	14.152.74.236	-	端口未开放	端口未开放
spam.meizu.com	113.106.104.214	-	端口未开放	端口未开放
15.meizu.com	120.77.88.219	80,443	nginx	80:正常访问
a8.meizu.com	120.76.101.80	80	Apache-Coyote/1.1	80:正常访问
p2.meizu.com	58.63.253.99	-	端口未开放	端口未开放
p3.meizu.com	58.63.253.110	-	端口未开放	端口未开放
p1.meizu.com	58.63.253.98	-	端口未开放	端口未开放
p4.meizu.com	58.63.253.111	-	端口未开放	端口未开放
p5.meizu.com	58.63.253.96	-	端口未开放	端口未开放
p6.meizu.com	121.14.39.18	-	端口未开放	端口未开放
p8.meizu.com	183.56.146.80	-	端口未开放	端口未开放
p7.meizu.com	121.14.58.42	-	端口未开放	端口未开放
p9.meizu.com	183.56.146.81	-	端口未开放	端口未开放
voice.meizu.com	183.61.122.113	80,443	nginx	80:正常访问
vpn.meizu.com	14.21.33.154	443	Apache	443:正常访问
life.meizu.com	183.61.122.126	80,443	nginx	80:正常访问
part.meizu.com	87.245.210.76,87.245.210.11,87.245.210.8,87.245.210.77,87.245.210.7	80,443	Apache/2.4.9 (Unix) OpenSSL/1.0.1f PHP/5.4.27	80:(403) 已禁止
common.meizu.com	14.152.73.229	80,443	nginx/1.11.6	80:正常访问
list.meizu.com	100.98.202.32	-	端口未开放	端口未开放
loan.meizu.com	14.152.75.17	80,443	nginx	80:正常访问
stream.meizu.com	119.147.165.245	-	端口未开放	端口未开放
sweep.meizu.com	183.61.122.98	80	nginx	80:(403) 已禁止
insurance.meizu.com	203.107.32.146	80,443	openresty	80:正常访问
clock.meizu.com	116.31.71.194	80,443	nginx/1.11.6	80:正常访问
repair.meizu.com	47.93.167.10	80		80:正常访问
cart.meizu.com	203.107.32.146	80,443	openresty/1.11.2.3	80:正常访问
analysis.meizu.com	116.66.216.102	443	nginx	443:正常访问
area.meizu.com	203.107.32.146	80,443	openresty	80:正常访问
jr.meizu.com	183.61.122.74	80	nginx	80:正常访问
issues.meizu.com	121.14.39.30	-	端口未开放	端口未开放
item.meizu.com	47.74.172.8	80,443	-	80:(403) 已禁止
welfare.meizu.com	14.152.75.181	80,443	nginx	80:正常访问
assistant.meizu.com	14.152.75.18	80,443	nginx	80:(404) 未找到
fuse.meizu.com	120.77.133.207	80,443	openresty	80:(404) 未找到
gravity.meizu.com	119.23.172.111	80,443	nginx	80:(404) 未找到
resource.meizu.com	121.14.39.15	-	端口未开放	端口未开放
contacts.meizu.com	183.61.122.105	80,443	nginx	80:正常访问
promotion.meizu.com	203.107.32.146	80,443	openresty	80:正常访问
smart.meizu.com	123.56.98.135	80	Microsoft-IIS/7.5	80:(404) 未找到
api.game.meizu.com	121.14.201.196	80,443	openresty	80:正常访问
api.v2.meizu.com	121.14.201.213	80,443	openresty	80:正常访问
antiddos.meizu.com	129.28.240.111	80,443	nginx	80:正常访问
browser.meizu.com	183.61.122.125	80,443	nginx	80:(404) 未找到
coupon.meizu.com	14.152.75.161	80,443	nginx	80:(403) 已禁止
dashboard.meizu.com	116.31.72.23	-	端口未开放	端口未开放
ebook.meizu.com	183.61.122.102	80,443	nginx	80:正常访问
exam.meizu.com	14.152.75.188	80	nginx	80:(405) 不允许的方法
hd1.meizu.com	119.28.48.239,49.51.8.209	80	DNSPod URL V2.0	80:(404) 未找到
hdtest.meizu.com	114.215.98.97	-	端口未开放	端口未开放
hkvpn.meizu.com	203.100.54.34	443	-	443:(404) 未找到
hybrid.meizu.com	14.152.75.179	80	nginx	80:(403) 已禁止
