域名	解析IP	开放端口	WEB服务器	网站状态
accounts.baidu.com	10.11.252.74	-	端口未开放	端口未开放
ae.baidu.com	180.149.132.47,111.13.101.208,220.181.57.217,123.125.114.144	80,443	BWS/1.0	80:正常访问
apollo.baidu.com	180.149.131.88,220.181.163.54	80	Apache	80:正常访问
auth.baidu.com	180.149.131.246,115.239.211.47	80,443	nginx	80:(403) 已禁止
auto.baidu.com	115.239.210.174,180.97.33.136	80,443	Apache	80:正常访问
b2b.baidu.com	14.215.178.42	80,443	Apache	80:正常访问
blue.baidu.com	58.222.53.35	80,443	JSP3/2.0.14	80:正常访问
bnc.baidu.com	180.97.34.232	80,443	Apache	80:正常访问
asm.baidu.com	10.99.87.18	-	端口未开放	端口未开放
athena.baidu.com	10.91.161.102	-	端口未开放	端口未开放
at.baidu.com	10.42.122.102	-	端口未开放	端口未开放
brazil.baidu.com	123.125.114.144,180.149.132.47,111.13.101.208,220.181.57.217	80,443	GWS/2.0	80:正常访问
antivirus.baidu.com	103.235.46.69	80	Apache	80:正常访问
cafe.baidu.com	180.97.34.252	80,443	nginx	80:正常访问
cf.baidu.com	111.206.37.138,220.181.57.72	80,443	Apache	80:正常访问
backup.baidu.com	10.143.145.28	-	端口未开放	端口未开放
bd.baidu.com	172.18.100.200	-	端口未开放	端口未开放
ci.baidu.com	180.97.93.43	80,443	Apache	80:正常访问
ck.baidu.com	106.120.159.243	80,443	bfe	80:(500) 内部服务器错误
cm.baidu.com	106.39.162.37	80,443	nginx	80:正常访问
code.baidu.com	180.149.131.33	80	nginx/1.4.1	80:(403) 已禁止
cache.baidu.com	220.181.57.215	80	Apache	80:正常访问
conf.baidu.com	115.239.217.57	80,443	Apache	80:(403) 已禁止
crs.baidu.com	115.239.210.163	80,443	lighttpd	80:正常访问
build.baidu.com	10.23.250.58	-	端口未开放	端口未开放
bugs.baidu.com	10.42.4.177	-	端口未开放	端口未开放
ca.baidu.com	111.202.115.77	-	端口未开放	端口未开放
cu.baidu.com	180.97.36.41	80,443	nginx/1.8.0	80:正常访问
check.baidu.com	10.46.11.136	-	端口未开放	端口未开放
checkpoint.baidu.com	10.26.252.56	-	端口未开放	端口未开放
song.baidu.com	180.97.34.232	80,443	Apache	80:正常访问
com.baidu.com	10.26.137.29	-	端口未开放	端口未开放
con.baidu.com	10.114.40.21	-	端口未开放	端口未开放
